MAG,indicator,season,exchange,phylum,type
M.KN5.nonMP.8.semibin.fa,N,4.aug,NA,p__Actinobacteriota,onlyNP
M.TN2.nonMP.3.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
M.W.DB2.5.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
M.W.KN5.42.fa,N,4.aug,NA,p__Actinobacteriota,onlyNP
M.W.TN6.1.semibin.fa,N,4.aug,NA,p__Actinobacteriota,onlyNP
M.W.YL4.13.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
S.KN5.W.23.semibin.fa,N,4.aug,NA,p__Actinobacteriota,onlyNP
S.PR7.nonMP.4.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
S.TR12I.nonMP.26.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
S.TSR1.W.19.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
A.KN5.nonMP.17.fa,N,2.may,5,p__Actinobacteriota,onlyNP
A.PR7.W.0.semibin.fa,N,2.may,5,p__Actinobacteriota,onlyNP
M.DB2.nonMP.11.fa,Y,2.may,5,p__Actinobacteriota,onlyNP
M.DB2.nonMP.6.fa,N,2.may,5,p__Actinobacteriota,onlyNP
M.KN5.nonMP.8.semibin.fa,N,2.may,5,p__Actinobacteriota,onlyNP
M.TN2.nonMP.3.fa,N,2.may,NA,p__Actinobacteriota,onlyNP
M.W.DB2.5.fa,N,2.may,NA,p__Actinobacteriota,onlyNP
M.W.KN5.42.fa,N,2.may,5,p__Actinobacteriota,onlyNP
M.W.TN6.1.semibin.fa,N,2.may,5,p__Actinobacteriota,onlyNP
M.W.YL4.13.fa,N,2.may,NA,p__Actinobacteriota,onlyNP
S.KN5.W.23.semibin.fa,N,2.may,5,p__Actinobacteriota,onlyNP
S.PR7.nonMP.4.fa,N,2.may,NA,p__Actinobacteriota,onlyNP
S.TR12I.nonMP.26.fa,N,2.may,5,p__Actinobacteriota,onlyNP
S.TSR1.W.19.fa,N,2.may,NA,p__Actinobacteriota,onlyNP
A.KN5.nonMP.17.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
A.PR7.W.0.semibin.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
M.DB2.nonMP.11.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
M.DB2.nonMP.6.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
M.KN5.nonMP.8.semibin.fa,N,3.nov,5,p__Actinobacteriota,onlyNP
M.TN2.nonMP.3.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
M.W.DB2.5.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
M.W.KN5.42.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
M.W.TN6.1.semibin.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
M.W.YL4.13.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
S.KN5.W.23.semibin.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
S.PR7.nonMP.4.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
S.TR12I.nonMP.26.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
S.TSR1.W.19.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
A.TR12I.MP.6.semibin.fa,N,1.feb,5,p__Bacteroidota,onlyMP
A.TR12I.W.6.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyMP
M.TC2.MP.5.fa,N,1.feb,5,p__Bacteroidota,onlyMP
M.W.TR17L.5.fa,N,1.feb,NA,p__Bacteroidota,onlyMP
M.YL4.MP.20.fa,N,1.feb,NA,p__Bacteroidota,onlyMP
S.KN5.MP.11.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyMP
